日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,註記
111/07/01,839224,17128741,21.35,21.5,19.6,19.7,-1.75,658,
111/07/04,515230,10219643,19.35,20.25,19.35,19.6,X0.00,409,
111/07/05,635784,13022086,20.2,21.0,20.0,20.3,+0.70,438,
111/07/06,474844,9606666,20.5,20.7,19.8,19.8,-0.50,471,
111/07/07,384356,7779327,20.3,20.6,19.75,20.5,+0.70,338,
111/07/08,447343,9356858,20.6,21.2,20.6,20.7,+0.20,372,
111/07/11,132469,2740191,21.0,21.0,20.55,20.7,0.00,162,
111/07/12,478449,9477479,20.6,20.6,19.5,19.55,-1.15,471,
111/07/13,388705,7975180,20.8,20.8,20.25,20.4,+0.85,271,
111/07/14,199054,4089380,20.3,20.7,20.2,20.55,+0.15,151,
111/07/15,185302,3785414,20.55,20.6,20.2,20.55,0.00,227,
111/07/18,408103,8572564,20.75,21.2,20.75,21.05,+0.50,295,
111/07/19,180379,3786959,21.05,21.1,20.85,20.95,-0.10,212,
111/07/20,418072,8935709,21.1,21.55,21.1,21.3,+0.35,350,
111/07/21,446280,9702881,21.55,22.0,21.3,22.0,+0.70,356,
111/07/22,546972,12114990,22.95,23.0,21.6,21.75,-0.25,592,
111/07/25,212245,4635379,21.75,22.1,21.5,22.0,+0.25,182,
111/07/26,254605,5479230,22.25,22.25,21.3,21.35,-0.65,352,
111/07/27,249951,5422923,21.75,21.95,21.3,21.7,+0.35,204,
111/07/28,446253,9799143,22.9,23.0,21.4,21.55,-0.15,363,
111/07/29,483193,10690033,22.0,22.3,21.9,22.25,+0.70,308,
