日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,註記
111/12/01,3575696,85597896,23.35,24.3,23.3,23.85,0.65,1046,
111/12/02,1907764,44474493,23.7,24.0,23.0,23.1,-0.75,1093,
111/12/05,706353,16488181,23.2,23.5,23.2,23.45,0.35,428,
111/12/06,526861,12156629,23.5,23.5,22.8,22.9,-0.55,492,
111/12/07,551398,12495853,22.9,23.0,22.4,22.55,-0.35,479,
111/12/08,322861,7380265,22.6,23.2,22.55,23.05,0.5,239,
111/12/09,181910,4181488,23.2,23.2,22.9,22.9,-0.15,153,
111/12/12,446680,10337618,22.9,23.4,22.7,23.3,0.4,250,
111/12/13,721750,16958125,23.3,23.8,23.25,23.3,0.0,464,
111/12/14,4373467,105600349,23.75,24.75,23.3,23.6,0.3,2672,
111/12/15,636989,14946087,23.6,23.75,23.3,23.4,-0.2,486,
111/12/16,519086,11936940,23.1,23.25,22.7,22.85,-0.55,448,
111/12/19,510613,11800971,22.8,23.6,22.8,22.8,-0.05,312,
111/12/20,531933,11895146,22.8,23.2,21.95,22.05,-0.75,414,
111/12/21,250212,5580399,22.2,22.65,22.1,22.2,0.15,174,
111/12/22,177252,3977439,22.25,22.55,22.25,22.4,0.2,142,
111/12/23,533118,11980294,22.1,22.85,21.85,22.6,0.2,311,
111/12/26,540026,12378902,22.5,23.25,22.5,22.75,0.15,359,
111/12/27,160788,3658070,22.8,22.95,22.6,22.7,-0.05,163,
111/12/28,229162,5131300,22.7,22.7,22.25,22.25,-0.45,175,
111/12/29,401509,9019659,22.25,22.7,22.0,22.45,0.2,301,
111/12/30,217773,4855818,22.5,22.8,22.15,22.2,-0.25,206,
