日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,註記
111/09/01,5577837,293702917,52.7,53.0,52.3,52.6,-0.8,3039,
111/09/02,3458580,181214891,52.7,52.9,52.1,52.1,-0.5,2125,
111/09/05,5022276,257833502,52.3,52.5,50.9,51.1,-1.0,2939,
111/09/06,5864102,299750038,50.6,51.8,50.2,51.2,0.1,3382,
111/09/07,7431565,377143328,50.5,51.5,50.0,50.6,-0.6,4625,
111/09/08,5779079,294184115,51.2,51.3,50.4,51.1,0.5,3148,
111/09/12,4146847,217018139,52.1,52.6,52.0,52.3,1.2,2317,
111/09/13,4691560,245868940,52.8,52.8,52.1,52.4,0.1,2619,
111/09/14,10761082,545933153,51.2,51.2,50.3,50.7,-1.7,6788,
111/09/15,5650146,286590488,51.0,51.2,50.4,50.4,-0.3,3144,
111/09/16,15731066,775349651,50.2,50.2,48.8,49.1,-1.3,9088,
111/09/19,11182736,541165156,49.2,49.25,48.0,48.6,-0.5,7225,
111/09/20,12977656,621587513,49.1,49.1,47.55,47.65,-0.95,10011,
111/09/21,8547546,403588872,47.5,47.75,47.05,47.15,-0.5,6007,
111/09/22,8007618,372777408,47.0,47.0,46.0,46.8,-0.35,4621,
111/09/23,7432159,354153540,46.95,48.1,46.85,47.6,0.8,4490,
111/09/26,13634151,624840234,46.4,46.55,45.5,45.65,-1.95,7995,
111/09/27,5412521,247842564,45.75,46.2,45.25,46.0,0.35,2647,
111/09/28,9870575,452132278,46.45,46.9,45.3,45.5,-0.5,5136,
111/09/29,9307505,434166397,46.05,47.35,46.0,47.15,1.65,4658,
111/09/30,14558400,697617605,46.3,48.95,46.0,48.95,1.8,7866,
