日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,註記
111/06/01,6203758,414409098,66.3,67.3,66.1,66.8,0.00,3174,
111/06/02,3183748,212420211,66.3,67.0,66.2,66.8,0.00,1908,
111/06/06,5495019,365466677,66.2,67.2,65.6,66.8,0.00,3005,
111/06/07,4273108,281629666,66.1,66.2,65.6,65.8,-1.00,2736,
111/06/08,3693522,244433887,66.2,66.5,65.9,66.1,+0.30,2039,
111/06/09,4104597,270521135,66.3,66.4,65.5,65.7,-0.40,2522,
111/06/10,5830202,379426437,65.1,65.7,64.8,65.1,-0.60,2910,
111/06/13,14650324,910536927,62.4,62.8,61.6,62.2,-2.90,8067,
111/06/14,7921212,489584644,61.7,62.3,61.3,62.2,0.00,4093,
111/06/15,11528473,711655483,61.9,62.5,61.2,61.2,-1.00,5798,
111/06/16,7244141,443978238,62.1,62.4,60.4,60.4,-0.80,4495,
111/06/17,7634857,457006086,60.0,60.3,59.3,60.1,-0.30,3649,
111/06/20,5616607,334309117,60.6,60.6,59.0,59.5,-0.60,3204,
111/06/21,7409503,444004304,59.8,60.2,59.4,60.0,+0.50,3684,
111/06/22,7063917,416309440,60.3,60.3,58.0,58.1,-1.90,4562,
111/06/23,6663421,389886993,59.0,59.4,57.8,58.3,+0.20,3858,
111/06/24,8509118,490423380,59.0,59.7,58.3,58.9,+0.60,3896,
111/06/27,8179325,474326233,59.5,59.9,59.3,59.8,+0.90,3491,
111/06/28,7630542,448062903,59.8,59.8,58.1,58.9,-0.90,3777,
111/06/29,12757117,734062839,58.0,58.1,57.1,57.1,-1.80,6881,
111/06/30,33986158,1690079740,50.8,51.5,48.5,49.4,X0.00,17401,
