日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,註記
111/01/03,7872515,256770087,32.0,33.5,31.55,31.55,-0.45,4808,
111/01/04,6134096,212853068,34.7,34.7,34.7,34.7,3.15,2479,
111/01/05,24331870,866012729,36.0,37.6,34.65,37.6,2.9,12853,
111/01/06,10817948,392469715,34.6,37.2,34.6,37.15,-0.45,6173,
111/01/07,7400789,267570615,37.2,37.2,35.15,35.15,-2.0,5324,
111/01/10,5916292,207339621,36.05,36.65,34.0,34.0,-1.15,4487,
111/01/11,6178897,211990926,34.6,35.45,33.05,33.7,-0.3,4726,
111/01/12,4521368,150681080,33.7,34.3,32.35,33.2,-0.5,2620,
111/01/13,1824411,60362365,33.8,33.9,32.6,32.85,-0.35,1210,
111/01/14,2088209,67473595,32.8,33.3,31.55,32.8,-0.05,1664,
111/01/17,2531776,84364040,33.6,34.4,32.8,33.0,0.2,1870,
111/01/18,1877204,61795045,33.1,33.45,32.35,32.45,-0.55,1035,
111/01/19,3659078,121753409,32.45,33.95,32.0,33.3,0.85,2277,
111/01/20,1585038,51817855,33.0,33.25,32.45,32.6,-0.7,1264,
111/01/21,1627272,52872739,32.4,33.3,32.0,32.0,-0.6,1449,
111/01/24,1671035,52482877,31.65,32.0,30.5,32.0,0.0,1105,
111/01/25,1130413,35519369,32.0,32.0,30.65,30.65,-1.35,866,
111/01/26,1073524,32745593,30.5,31.1,30.05,30.1,-0.55,984,
