日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,註記
111/12/01,13835727,802343350,58.5,58.9,57.0,57.5,0.7,7504,
111/12/02,17164019,967631254,56.9,57.2,55.9,56.1,-1.4,9382,
111/12/05,7580031,427578122,56.0,56.9,56.0,56.2,0.1,3645,
111/12/06,15085665,823025233,55.6,55.7,54.1,54.3,-1.9,8082,
111/12/07,8669448,466700719,54.2,54.5,53.5,53.5,-0.8,4742,
111/12/08,8653920,466471100,53.5,54.5,53.0,54.0,0.5,4338,
111/12/09,8465475,456394649,54.5,54.8,53.6,53.7,-0.3,3812,
111/12/12,7258729,395452875,53.5,55.1,53.3,54.8,1.1,4061,
111/12/13,7507436,412772398,55.1,55.4,54.6,54.8,0.0,3392,
111/12/14,7300405,405022879,55.1,55.8,55.0,55.5,0.7,3907,
111/12/15,4809919,268067663,55.3,56.1,55.1,55.9,0.4,2690,
111/12/16,8734338,477020306,55.1,55.1,54.3,54.5,-1.4,4067,
111/12/19,6310919,340949448,54.2,54.6,53.7,53.7,-0.8,3155,
111/12/20,10471584,551699273,53.8,53.9,52.0,52.0,-1.7,6379,
111/12/21,7997323,415302452,52.1,52.6,51.5,51.5,-0.5,3444,
111/12/22,6443016,333706656,52.2,52.5,51.5,51.7,0.2,3371,
111/12/23,5240812,266493369,50.5,51.5,50.1,51.4,-0.3,2952,
111/12/26,1873533,96592024,51.7,51.8,51.2,51.5,0.1,1381,
111/12/27,2763383,143829202,51.6,52.3,51.6,51.9,0.4,1787,
111/12/28,3348466,172256812,51.6,51.9,51.2,51.3,-0.6,2185,
111/12/29,4290189,220583792,50.8,52.0,50.5,51.8,0.5,2144,
111/12/30,2400093,124047536,52.2,52.3,51.2,51.2,-0.6,1671,
