日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,註記
111/08/01,6018456,314062847,52.5,52.6,51.5,52.2,-0.1,2760,
111/08/02,9674287,490505895,51.8,51.8,50.0,50.4,-1.8,4621,
111/08/03,8859214,453172979,50.4,51.5,50.2,51.2,0.8,4891,
111/08/04,6898118,352449399,50.5,51.7,50.4,51.0,-0.2,4091,
111/08/05,8751460,464747464,51.9,53.5,51.9,53.2,2.2,5063,
111/08/08,5914275,313165517,52.9,53.4,52.3,53.1,-0.1,3001,
111/08/09,4995316,264768508,52.9,53.4,52.5,52.9,-0.2,3404,
111/08/10,7423879,385040696,52.3,52.4,51.6,51.6,-1.3,3609,
111/08/11,5012982,265703069,52.7,53.4,52.6,53.0,1.4,3014,
111/08/12,5866363,316092069,53.3,54.3,53.1,54.1,1.1,3586,
111/08/15,4973692,267683260,54.5,54.7,53.4,53.8,-0.3,2852,
111/08/16,3537044,189786781,53.9,54.0,53.4,53.8,0.0,2229,
111/08/17,6298976,340987138,53.6,55.0,53.2,55.0,1.2,3022,
111/08/18,6743338,362074038,54.4,54.4,53.3,53.6,-1.4,3815,
111/08/19,4503984,244372275,53.8,54.7,53.8,54.3,0.7,2697,
111/08/22,3221815,173663055,53.6,54.2,53.4,53.9,-0.4,1951,
111/08/23,3866860,206578510,53.2,53.8,53.1,53.4,-0.5,1949,
111/08/24,5488258,290477489,53.7,53.7,52.6,52.6,-0.8,3230,
111/08/25,3030006,161757314,53.0,53.7,53.0,53.6,1.0,1981,
111/08/26,3876915,208505328,54.3,54.3,53.4,53.5,-0.1,2416,
111/08/29,3892983,204380704,52.2,52.9,52.1,52.5,-1.0,2450,
111/08/30,3588250,188566121,52.5,53.0,52.1,52.7,0.2,2387,
111/08/31,5743523,306237469,52.7,53.8,52.5,53.4,0.7,2000,
