日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,註記
111/03/01,11729232,930403503,78.2,80.0,77.5,79.9,2.8,7267,
111/03/02,7939064,630414041,79.0,80.1,78.3,79.7,-0.2,4930,
111/03/03,14399088,1184866904,82.3,83.3,81.6,82.6,2.9,9452,
111/03/04,9231277,757082538,81.3,82.8,80.5,81.6,-1.0,7050,
111/03/07,18402984,1415935731,79.6,79.6,76.0,76.9,-4.7,18481,
111/03/08,13468086,1017118209,75.9,77.6,74.3,74.7,-2.2,12556,
111/03/09,6418748,483515449,76.0,76.5,74.8,74.9,0.2,6062,
111/03/10,10649777,817313739,76.3,77.5,76.2,76.7,1.8,7589,
111/03/11,8161975,613608340,76.0,76.3,74.6,75.6,-1.1,8260,
111/03/14,9234125,694628739,75.8,76.2,74.7,75.7,0.1,4995,
111/03/15,12492919,919514658,75.3,75.5,73.0,73.0,-2.7,8527,
111/03/16,19482067,1392075658,73.5,73.8,70.5,70.9,-2.1,15520,
111/03/17,13193975,971778464,73.0,74.3,72.6,74.2,3.3,8381,
111/03/18,6787128,505601081,74.2,74.8,73.9,74.8,0.6,3791,
111/03/21,5585167,418560782,75.0,75.4,74.3,74.9,0.1,4309,
111/03/22,11150733,824118606,75.1,75.3,73.4,74.0,-0.9,9168,
111/03/23,14132321,1039978095,74.5,74.7,73.0,73.7,-0.3,8709,
111/03/24,30281688,2146660799,73.0,73.0,70.3,71.3,-2.4,22385,
111/03/25,25898904,1797441013,71.0,71.1,68.9,68.9,-2.4,19816,
111/03/28,9694662,668576149,68.2,69.9,67.5,69.8,0.9,8578,
111/03/29,10191848,704765445,69.8,69.8,68.7,69.0,-0.8,6630,
111/03/30,7030163,488963507,70.0,70.4,69.1,69.3,0.3,4688,
111/03/31,9880666,687491018,69.5,70.2,69.2,69.2,-0.1,4707,
