日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,註記
111/10/03,195397,3806898,19.6,19.65,19.25,19.45,-0.2,236,
111/10/04,2847965,60804036,21.35,21.35,21.35,21.35,1.9,608,
111/10/05,2956958,66020590,23.0,23.2,21.6,21.6,0.25,1873,
111/10/06,624867,13220596,21.55,21.55,21.0,21.1,-0.5,478,
111/10/07,256919,5415110,20.95,21.3,20.9,20.9,-0.2,254,
111/10/11,381662,7695773,20.45,20.5,19.95,20.0,-0.9,478,
111/10/12,273756,5456033,20.25,20.25,19.7,20.1,0.1,260,
111/10/13,559797,10756493,20.2,20.2,18.8,18.95,-1.15,556,
111/10/14,441275,8690165,19.4,20.0,19.4,19.6,0.65,315,
111/10/17,359907,6919364,19.3,19.55,18.9,19.5,-0.1,309,
111/10/18,254938,5058320,19.7,20.1,19.6,20.0,0.5,224,
111/10/19,264985,5291494,20.0,20.3,19.5,19.75,-0.25,297,
111/10/20,166284,3222644,19.45,19.7,19.15,19.6,-0.15,266,
111/10/21,210709,4056422,19.5,19.5,19.1,19.25,-0.35,222,
111/10/24,180095,3538458,19.5,19.8,19.5,19.5,0.25,144,
111/10/25,203609,3930367,19.5,19.8,19.1,19.15,-0.35,170,
111/10/26,223213,4319768,19.3,19.6,19.15,19.45,0.3,168,
111/10/27,319016,6337537,19.45,20.1,19.45,20.1,0.65,223,
111/10/28,157344,3084757,20.2,20.2,19.35,19.35,-0.75,295,
111/10/31,105646,2079650,19.5,19.85,19.5,19.55,0.2,102,
