日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,註記
114/01/02,13515222,639385433,47.95,48.2,46.65,46.7,-1.2,7190,
114/01/03,8771184,407289012,47.1,47.15,46.0,46.1,-0.6,4234,
114/01/06,13844928,651977141,46.5,47.4,46.35,47.05,0.95,5926,
114/01/07,62698503,2936388058,48.5,49.0,45.0,45.5,-1.55,27165,
114/01/08,32611820,1494953286,45.6,46.5,45.05,45.8,0.3,10653,
114/01/09,45541974,2061735007,45.8,45.95,44.7,45.0,-0.8,13665,
114/01/10,26216974,1153344494,44.7,44.7,43.6,43.85,-1.15,10756,
114/01/13,31190587,1359058995,43.35,44.15,42.6,44.0,0.15,8427,
114/01/14,23850042,1049995752,43.65,44.5,43.65,44.1,0.1,5234,
114/01/15,14738337,637530894,43.75,43.95,42.8,42.9,-1.2,8364,
114/01/16,10431342,454897996,43.5,43.85,43.2,43.65,0.75,3874,
114/01/17,34032268,1506640819,43.8,45.2,43.45,43.55,-0.1,9243,
114/01/20,25362022,1076061618,43.65,43.7,42.0,42.25,-1.3,12765,
114/01/21,9021192,382226500,42.2,42.65,42.05,42.25,0.0,4045,
114/01/22,13733800,594130330,42.75,43.75,42.7,43.75,1.5,8363,
