日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,註記
114/02/03,12771259,546860285,42.65,43.2,42.5,42.8,-0.95,6587,
114/02/04,14539855,612499540,43.15,43.2,41.45,41.45,-1.35,8141,
114/02/05,8728072,363373344,41.9,42.1,41.35,41.35,-0.1,5099,
114/02/06,9672505,407636745,41.45,42.65,41.45,42.35,1.0,4871,
114/02/07,5570325,236063768,42.35,42.65,42.1,42.4,0.05,3634,
114/02/10,6488692,275636271,42.3,42.7,42.05,42.45,0.05,3202,
114/02/11,13727236,583099982,42.7,43.3,41.95,41.95,-0.5,6097,
114/02/12,6733368,283255954,42.05,42.55,41.75,41.9,-0.05,3786,
114/02/13,11440989,488835819,42.25,43.2,42.1,42.95,1.05,5353,
114/02/14,7675298,331026833,43.1,43.4,42.7,43.3,0.35,4213,
114/02/17,8147374,350811948,43.6,43.6,42.9,43.0,-0.3,5147,
114/02/18,5715053,246470639,43.15,43.35,42.85,43.35,0.35,3043,
114/02/19,7100088,306159465,43.35,43.45,42.85,42.95,-0.4,3856,
114/02/20,35629973,1566386029,43.0,44.4,43.0,43.9,0.95,14072,
114/02/21,52210269,2318509420,44.25,45.3,43.75,44.0,0.1,23379,
114/02/24,15804697,688598357,43.8,44.2,43.25,43.35,-0.65,8253,
114/02/25,48892556,2177642658,44.1,45.2,44.0,44.1,0.75,24153,
114/02/26,12826388,560208138,43.8,44.05,43.5,43.6,-0.5,7647,
114/02/27,14400995,621330023,43.55,43.75,42.8,42.8,-0.8,7801,
