日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,註記
111/10/03,12623989,599414907,48.0,48.05,46.7,47.55,-1.4,7186,
111/10/04,16197145,798693430,49.0,50.2,48.3,49.95,2.4,9081,
111/10/05,25087606,1277874037,51.0,51.6,50.1,51.4,1.45,11541,
111/10/06,13147421,660964875,51.5,51.5,49.6,50.2,-1.2,6134,
111/10/07,6671673,333909520,49.85,50.4,49.65,50.2,0.0,3198,
111/10/11,14029386,695359655,49.2,50.0,48.6,49.75,-0.45,6672,
111/10/12,30451211,1587256479,51.7,53.0,50.6,52.7,2.95,15743,
111/10/13,16237186,841317481,51.7,52.7,51.0,51.4,-1.3,8920,
111/10/14,31408549,1702604076,52.8,55.6,52.1,55.2,3.8,15802,
111/10/17,17204490,945217699,53.7,56.4,53.6,56.2,1.0,10618,
111/10/18,17400785,969228399,56.9,57.0,54.6,55.8,-0.4,12267,
111/10/19,20069987,1086101317,54.7,55.3,53.5,53.8,-2.0,12802,
111/10/20,25855012,1417070603,53.5,55.7,53.1,55.7,1.9,13650,
111/10/21,18638228,1045913313,55.2,56.8,55.1,55.7,0.0,10806,
111/10/24,16137771,910770694,57.1,57.7,55.3,55.6,-0.1,8119,
111/10/25,11562130,630313996,55.9,56.3,53.8,54.1,-1.5,8033,
111/10/26,9263298,505154543,54.4,55.0,54.1,54.5,0.4,4946,
111/10/27,10766810,592482899,54.7,55.4,54.5,55.0,0.5,4946,
111/10/28,13240174,705589365,53.8,54.5,52.8,53.1,-1.9,8266,
111/10/31,9062807,492331759,54.0,54.9,53.2,54.5,1.4,4224,
