日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,註記
111/03/01,427248,11783017,27.25,27.8,27.25,27.75,0.5,401,
111/03/02,462683,12584618,27.8,27.8,27.05,27.25,-0.5,441,
111/03/03,331362,9118263,27.35,27.9,27.3,27.4,0.15,326,
111/03/04,541100,14578446,27.0,27.25,26.8,26.95,-0.45,546,
111/03/07,1051145,27168322,26.55,26.7,25.6,25.7,-1.25,809,
111/03/08,700865,17741879,24.6,26.1,24.6,25.2,-0.5,537,
111/03/09,548903,14013544,26.0,26.25,25.25,25.25,0.05,458,
111/03/10,909289,24028617,26.2,26.9,26.05,26.4,1.15,627,
111/03/11,445918,11443934,26.3,26.3,25.4,25.7,-0.7,519,
111/03/14,1306029,32664154,24.9,25.3,24.9,25.0,-0.7,815,
111/03/15,581835,14303115,25.1,25.15,24.4,24.6,-0.4,540,
111/03/16,498345,12471330,24.75,25.4,24.7,25.0,0.4,523,
111/03/17,513640,13008998,25.2,25.55,25.15,25.45,0.45,422,
111/03/18,636024,16374591,25.6,25.95,25.4,25.95,0.5,556,
111/03/21,626061,16415931,26.25,26.45,26.0,26.25,0.3,523,
111/03/22,482637,12741029,26.45,26.55,26.2,26.55,0.3,471,
111/03/23,486068,12806234,26.85,26.85,26.15,26.3,-0.25,446,
111/03/24,353006,9175008,26.15,26.25,25.8,26.05,-0.25,321,
111/03/25,564767,14709538,26.3,26.45,25.7,26.1,0.05,445,
111/03/28,5554047,156160967,27.3,28.7,27.2,28.7,2.6,3731,
111/03/29,6057928,171708417,29.1,29.3,27.75,28.0,-0.7,4011,
111/03/30,1249556,34665725,28.2,28.2,27.45,27.6,-0.4,1056,
111/03/31,659809,18302609,27.65,27.95,27.45,27.8,0.2,586,
