日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,註記
114/02/03,168103694,27880932586,164.0,168.0,163.5,165.5,-14.5,203537,
114/02/04,68458788,11379696528,167.0,169.0,165.0,165.0,-0.5,73349,
114/02/05,53304973,9033062898,167.0,171.5,167.0,171.0,6.0,42917,
114/02/06,41060652,7081097296,172.5,174.0,171.0,173.0,2.0,31971,
114/02/07,52118210,9202320428,175.0,178.0,174.0,178.0,5.0,44998,
114/02/10,37723196,6590892944,176.0,176.5,174.0,174.0,-4.0,48491,
114/02/11,71048641,12782953142,178.0,182.0,176.0,179.0,5.0,48761,
114/02/12,42666219,7608185758,181.5,181.5,177.0,177.0,-2.0,63003,
114/02/13,40596733,7259602358,177.0,181.0,177.0,180.0,3.0,24848,
114/02/14,26925038,4808438797,180.0,180.5,177.5,178.0,-2.0,25657,
114/02/17,47251327,8577655581,179.5,182.5,179.0,182.5,4.5,34023,
114/02/18,27184244,4958070370,183.0,184.0,181.0,183.5,1.0,22580,
114/02/19,35389548,6488063362,183.5,184.5,182.0,183.0,-0.5,27655,
114/02/20,23659372,4311924877,183.0,183.5,181.5,182.0,-1.0,20159,
114/02/21,35359340,6465535028,181.5,184.0,181.0,183.0,1.0,21572,
114/02/24,27928907,5103161593,181.0,184.0,180.5,184.0,1.0,21220,
114/02/25,70811787,12690044507,181.5,182.0,177.5,177.5,-6.5,73391,
114/02/26,45145771,8041430005,175.0,181.0,174.5,180.5,3.0,29868,
114/02/27,81509723,14374897915,180.0,181.5,174.0,174.0,-6.5,74546,
