日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,註記
114/01/02,45045125,47883206644,1070.0,1075.0,1055.0,1065.0,-10.0,74997,
114/01/03,31244211,33728652860,1080.0,1085.0,1075.0,1075.0,10.0,28227,
114/01/06,77874801,86585128825,1100.0,1125.0,1095.0,1125.0,50.0,130021,
114/01/07,54691485,62664127156,1150.0,1160.0,1130.0,1130.0,5.0,70657,
114/01/08,49181518,54760296689,1110.0,1130.0,1105.0,1105.0,-25.0,71736,
114/01/09,29916198,33052210793,1100.0,1115.0,1100.0,1100.0,-5.0,51544,
114/01/10,24475751,26996697889,1100.0,1110.0,1100.0,1100.0,0.0,38027,
114/01/13,62629547,68093421797,1110.0,1115.0,1070.0,1075.0,-25.0,118516,
114/01/14,31280235,33915048410,1085.0,1090.0,1075.0,1090.0,15.0,32218,
114/01/15,37966582,40677529813,1085.0,1085.0,1065.0,1065.0,-25.0,74906,
114/01/16,49872673,54934128041,1095.0,1115.0,1090.0,1105.0,40.0,54389,
114/01/17,60857371,67663576840,1125.0,1125.0,1095.0,1120.0,15.0,48829,
114/01/20,32062171,36076248367,1125.0,1135.0,1120.0,1120.0,0.0,37780,
114/01/21,24368832,27256307475,1115.0,1125.0,1110.0,1120.0,0.0,28262,
114/01/22,45996696,52510666410,1140.0,1150.0,1135.0,1135.0,15.0,59434,
