日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,註記
111/05/03,2432654,69193144,29.1,29.35,28.0,28.0,-1.1,1405,
111/05/04,2121464,59174102,28.6,28.6,27.55,28.25,0.25,1319,
111/05/05,2176540,62114345,28.3,29.2,28.1,28.65,0.4,1351,
111/05/06,1548751,43501372,28.0,28.35,27.9,28.0,-0.65,916,
111/05/09,1751687,48701852,27.7,28.7,27.2,27.85,-0.15,992,
111/05/10,1399980,38726257,27.4,28.2,27.3,27.6,-0.25,840,
111/05/11,4294389,118509890,27.6,28.5,26.4,26.75,-0.85,1859,
111/05/12,2190930,55766402,26.45,26.7,24.2,24.2,-2.55,1380,
111/05/13,1645560,40977694,24.5,25.45,24.3,25.35,1.15,972,
111/05/16,878876,22304983,25.1,25.7,25.1,25.35,0.0,562,
111/05/17,674534,17077172,25.15,25.65,25.15,25.25,-0.1,463,
111/05/18,1621588,42481490,25.85,26.65,25.8,26.15,0.9,1078,
111/05/19,4720200,125854972,26.0,27.5,25.8,25.8,-0.35,2752,
111/05/20,1794133,47079114,26.3,26.8,25.8,26.05,0.25,1072,
111/05/23,821324,21564074,26.9,26.9,25.9,26.05,0.0,518,
111/05/24,1128849,28641173,26.05,26.2,24.95,25.05,-1.0,747,
111/05/25,532004,13413273,25.05,25.4,25.05,25.2,0.15,330,
111/05/26,596216,14998209,25.35,25.5,25.0,25.0,-0.2,405,
111/05/27,888123,22653801,25.4,25.7,25.25,25.4,0.4,529,
111/05/30,673830,17324558,25.8,25.9,25.45,25.8,0.4,409,
111/05/31,423815,10938478,25.95,26.05,25.55,25.9,0.1,304,
