日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,註記
111/01/03,11445518,879111607,77.8,78.0,76.0,76.2,-1.9,10096,
111/01/04,7409922,568904972,76.8,77.2,76.5,77.2,1.0,3445,
111/01/05,11504907,875352394,77.2,77.2,75.5,75.9,-1.3,6668,
111/01/06,11854260,876753414,75.0,75.2,73.3,73.8,-2.1,9405,
111/01/07,10521269,778307498,74.0,74.8,73.4,73.7,-0.1,5223,
111/01/10,5145379,382273250,73.5,74.9,72.7,74.9,1.2,2893,
111/01/11,6151475,454352052,74.1,74.6,73.2,73.5,-1.4,4806,
111/01/12,7337186,544674808,74.2,74.8,73.6,74.4,0.9,4274,
111/01/13,6816488,507251950,74.4,75.2,73.9,74.6,0.2,4964,
111/01/14,7199837,535539402,74.3,75.0,73.8,74.3,-0.3,4189,
111/01/17,5719251,424786898,74.3,74.9,73.9,74.4,0.1,4634,
111/01/18,7275922,549540405,74.9,76.0,74.6,75.1,0.7,4882,
111/01/19,5927915,446008069,74.4,75.8,74.3,75.2,0.1,3906,
111/01/20,4861481,365110111,75.1,75.6,74.6,75.1,-0.1,2754,
111/01/21,15253081,1108434328,74.3,74.8,72.0,72.3,-2.8,12755,
111/01/24,8544331,616812334,71.6,73.1,71.0,72.6,0.3,5678,
111/01/25,8718292,632869665,72.0,74.0,71.8,72.0,-0.6,6847,
111/01/26,4040153,292488788,72.4,73.5,71.8,72.0,0.0,3200,
