日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,註記
114/01/02,41467354,7588159603,184.0,186.0,181.5,182.5,-1.5,48006,
114/01/03,48659205,8838730132,183.0,184.0,180.5,181.0,-1.5,52820,
114/01/06,67829021,12539307339,185.0,187.5,183.5,184.5,3.5,48289,
114/01/07,83019294,15727768928,187.0,192.0,186.5,190.0,5.5,61312,
114/01/08,41798818,7881691230,190.0,190.0,187.0,188.0,-2.0,68591,
114/01/09,47079538,8712211883,188.0,188.0,183.0,183.0,-5.0,53956,
114/01/10,42317494,7698779260,182.5,184.0,181.0,181.5,-1.5,47888,
114/01/13,157188534,27407637685,180.0,180.5,171.5,171.5,-10.0,192669,
114/01/14,64355673,11130474220,171.5,174.5,171.0,174.5,3.0,52963,
114/01/15,60432737,10411822201,174.5,175.5,171.0,171.0,-3.5,65891,
114/01/16,42128703,7331867358,175.0,176.0,173.0,173.5,2.5,32338,
114/01/17,47442329,8231498177,173.0,175.5,172.0,173.5,0.0,33175,
114/01/20,35167919,6214216149,174.5,178.0,174.5,178.0,4.5,44005,
114/01/21,32613034,5818448615,178.5,180.0,177.0,178.5,0.5,31806,
114/01/22,44375092,7991917051,180.5,181.0,178.5,180.0,1.5,34107,
