日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,註記
114/09/01,70459817,14078205621,203.0,204.5,197.0,198.5,-5.0,71939,
114/09/02,35779045,7156125061,200.0,203.5,198.0,198.5,0.0,34355,
114/09/03,34371962,6872038310,198.5,201.0,197.0,200.5,2.0,27080,
114/09/04,41864177,8521942683,203.0,205.0,202.0,203.0,2.5,31214,
114/09/05,39235404,8029752712,205.5,206.5,203.0,205.0,2.0,28923,
114/09/08,45711589,9334946908,206.0,207.5,202.0,203.5,-1.5,50746,
114/09/09,64990917,13418391286,204.5,208.0,204.0,207.5,4.0,49854,
114/09/10,86104648,18091486378,211.0,211.0,209.0,210.0,2.5,59270,
114/09/11,133210297,28371439699,212.0,216.5,209.0,214.5,4.5,110323,
114/09/12,74001120,16094789200,217.0,218.5,216.5,217.5,3.0,59880,
114/09/15,56651315,12223562936,218.5,218.5,213.0,216.0,-1.5,75033,
114/09/16,50810161,10921782120,217.0,217.0,213.5,215.5,-0.5,55352,
114/09/17,57358177,12178164074,214.0,214.5,211.0,212.0,-3.5,55556,
114/09/18,80554452,17094718551,211.5,216.0,208.0,215.0,3.0,58698,
114/09/19,60640765,13043430662,216.5,217.0,214.0,214.0,-1.0,31511,
114/09/22,34758075,7497072101,215.5,218.0,214.0,216.0,2.0,26738,
114/09/23,106127922,23372213555,218.0,222.0,217.5,221.0,5.0,80860,
114/09/24,66406960,14704333060,222.0,223.0,219.0,223.0,2.0,57218,
114/09/25,126590277,28960571650,223.0,231.0,222.5,230.0,7.0,104399,
114/09/26,122225692,27112438607,230.0,230.5,218.5,219.5,-10.5,135714,
114/09/30,92277798,20154961826,224.0,224.0,215.5,216.0,-3.5,76105,
