日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,註記
111/04/01,10546456,722682338,68.5,69.2,68.0,69.2,0.0,5654,
111/04/06,19414704,1298021669,68.3,68.5,66.5,66.6,-2.6,11075,
111/04/07,12488798,833871177,66.8,67.7,66.2,66.2,-0.4,7316,
111/04/08,7120723,475691229,66.8,67.2,66.4,66.8,0.6,3465,
111/04/11,9315358,619498780,66.8,67.6,65.7,66.8,0.0,6045,
111/04/12,11303698,740544251,66.2,66.3,65.1,65.5,-1.3,6214,
111/04/13,7135707,474295649,66.0,66.8,65.8,66.7,1.2,4146,
111/04/14,19681361,1270317591,66.7,66.7,64.1,64.1,-2.6,12148,
111/04/15,7842033,500775731,63.6,64.7,63.3,63.9,-0.2,4158,
111/04/18,5160499,329698406,63.3,64.9,63.3,63.8,-0.1,4246,
111/04/19,5812849,374678990,64.6,65.0,64.1,64.4,0.6,3202,
111/04/20,10101387,658665293,65.1,65.8,64.4,65.3,0.9,6360,
111/04/21,8515621,563067139,65.9,66.9,65.3,66.9,1.6,4214,
111/04/22,8313290,549625439,66.0,66.5,65.5,66.4,-0.5,5215,
111/04/25,10672114,685243819,65.0,65.3,63.6,64.3,-2.1,7391,
111/04/26,7787796,499450234,64.7,64.9,63.7,64.2,-0.1,4382,
111/04/27,8752188,545723258,62.7,63.2,61.5,63.2,-1.0,6345,
111/04/28,8019616,514401411,63.6,64.7,63.2,64.2,1.0,5210,
111/04/29,8184465,536381676,65.1,65.9,64.9,65.6,1.4,3798,
