日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,註記
114/04/01,12476350,508820133,41.0,41.25,40.35,40.95,0.25,6944,
114/04/02,9626335,398435027,41.15,41.75,40.95,41.4,0.45,4651,
114/04/07,2264936,84481842,37.3,37.3,37.3,37.3,-4.1,2094,
114/04/08,49170994,1663378426,33.7,35.0,33.6,34.1,-3.2,18739,
114/04/09,36204427,1181566048,33.7,34.35,31.25,32.05,-2.05,16414,
114/04/10,5195777,183151057,35.25,35.25,35.25,35.25,3.2,1961,
114/04/11,29148664,1063938239,33.6,38.4,33.6,38.4,3.15,15072,
114/04/14,20566333,806244380,38.9,40.0,38.7,39.0,0.6,10595,
114/04/15,14669698,587030951,39.4,40.5,39.25,40.25,1.25,8683,
114/04/16,18445173,745487235,40.4,41.1,39.75,39.75,-0.5,8888,
114/04/17,8819405,351188576,39.75,40.15,39.3,40.0,0.25,5025,
114/04/18,9222970,371388278,40.15,40.5,39.85,40.5,0.5,3709,
114/04/21,16919333,675083881,40.15,40.65,39.15,40.35,-0.15,9808,
114/04/22,13352917,530655197,40.0,40.15,39.25,39.45,-0.9,6734,
114/04/23,15797955,640350068,40.25,40.8,40.2,40.75,1.3,5616,
114/04/24,16209942,664160940,41.1,41.45,40.55,40.9,0.15,7230,
114/04/25,17374469,703014777,41.15,41.35,39.85,39.85,-1.05,10957,
114/04/28,10637550,426296525,39.85,40.35,39.7,40.3,0.45,5170,
114/04/29,13274208,539035014,40.4,40.85,40.15,40.75,0.45,6765,
114/04/30,12950285,529112030,40.95,41.3,40.6,40.6,-0.15,5765,
