日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,註記
114/08/01,65361707,11706827616,175.0,181.5,175.0,181.5,3.5,51454,
114/08/04,44503796,7997047960,179.5,181.0,178.5,180.0,-1.5,46741,
114/08/05,52169907,9581384795,182.0,185.0,182.0,184.5,4.5,44275,
114/08/06,68868790,12855469334,185.5,188.5,184.0,186.0,1.5,57215,
114/08/07,119398749,23135389200,190.0,195.0,190.0,194.5,8.5,89235,
114/08/08,65469369,12751231873,197.0,197.0,193.5,194.5,0.0,56247,
114/08/11,52291064,10257696276,194.0,198.0,192.5,198.0,3.5,48797,
114/08/12,38689326,7612313926,198.5,199.0,195.5,197.0,-1.0,45555,
114/08/13,103356675,20312528967,198.0,199.0,193.5,198.5,1.5,106187,
114/08/14,78943020,15688176080,197.5,200.0,197.0,199.5,1.0,51680,
114/08/15,156672765,32140128028,205.0,208.0,202.0,207.0,7.5,120858,
114/08/18,73566364,15318133373,207.5,210.0,206.0,210.0,3.0,71361,
114/08/19,49978122,10455248708,210.0,212.0,208.0,208.0,-2.0,48934,
114/08/20,124219182,25064469815,206.0,206.5,200.0,200.5,-7.5,146067,
114/08/21,67845018,13866663290,201.0,206.0,201.0,206.0,5.5,57751,
114/08/22,54944456,11230285900,208.0,208.0,202.0,202.5,-3.5,75006,
114/08/25,52074373,10794411131,207.0,208.0,206.0,207.5,5.0,36892,
114/08/26,42252559,8781319005,207.0,209.0,206.0,209.0,1.5,31176,
114/08/27,41852802,8721224257,210.0,210.0,207.5,208.0,-1.0,36106,
114/08/28,48681221,10022449817,207.5,207.5,204.0,206.0,-2.0,34179,
114/08/29,55250195,11287102203,206.0,207.0,202.5,203.5,-2.5,44100,
