日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,註記
111/07/01,23372598,1136609383,49.3,49.55,48.15,48.3,-1.1,9644,
111/07/04,11990874,582313070,48.3,49.3,47.65,49.15,0.85,4868,
111/07/05,9391993,458095953,49.7,49.75,47.85,49.4,0.25,5451,
111/07/06,11246952,550609205,49.4,49.9,48.25,48.6,-0.8,5669,
111/07/07,15267268,757439372,49.1,50.5,48.2,50.5,1.9,7383,
111/07/08,17944705,897932600,50.5,51.2,49.15,49.65,-0.85,7204,
111/07/11,12752511,622810304,49.05,49.4,48.35,49.0,-0.65,5183,
111/07/12,11644377,554835908,48.4,48.5,47.15,47.35,-1.65,6343,
111/07/13,13016964,642346180,48.55,50.2,48.55,49.0,1.65,6410,
111/07/14,8235519,408367191,48.55,50.0,48.3,49.85,0.85,4641,
111/07/15,12589746,639623421,49.65,51.6,49.35,51.4,1.55,6003,
111/07/18,22604685,1215107505,51.8,54.7,51.5,54.2,2.8,9648,
111/07/19,11994055,638234039,53.0,53.7,52.8,53.0,-1.2,7364,
111/07/20,14376081,771031718,54.0,54.3,53.1,53.4,0.4,6159,
111/07/21,7534937,407613473,53.4,54.5,53.3,54.3,0.9,3441,
111/07/22,14169515,758495644,54.0,54.2,53.0,53.7,-0.6,6256,
111/07/25,7968106,419360359,53.0,53.0,52.0,52.7,-1.0,3992,
111/07/26,5983337,314672988,52.6,53.1,52.2,52.5,-0.2,2510,
111/07/27,4819016,252834855,52.6,53.1,51.9,52.6,0.1,2182,
111/07/28,4795114,251670033,52.9,53.1,52.1,52.5,-0.1,2259,
111/07/29,5806670,304882291,53.1,53.1,52.1,52.3,-0.2,2758,
