日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,註記
114/10/01,58600187,12838949104,219.0,222.0,216.0,219.0,3.0,47081,
114/10/02,73884573,16555137360,221.5,226.0,221.0,225.5,6.5,60311,
114/10/03,52446781,11878763582,226.0,228.0,224.5,226.5,1.0,39885,
114/10/07,66127414,15079906793,230.0,231.5,225.0,228.5,2.0,86692,
114/10/08,50104069,11216169955,225.0,225.5,222.0,225.0,-3.5,48832,
114/10/09,56700891,12630175220,227.0,227.0,221.0,221.5,-3.5,55320,
114/10/13,111260942,23697376844,210.0,216.0,210.0,213.0,-8.5,116570,
114/10/14,108702039,22810488993,216.0,217.5,205.0,206.0,-7.0,128309,
114/10/15,65964764,13607971885,207.5,208.0,203.0,206.5,0.5,56585,
114/10/16,154273795,33877031923,215.0,225.5,211.5,223.0,16.5,118148,
114/10/17,119855855,27170967116,224.0,230.0,222.5,226.5,3.5,95615,
114/10/20,152953266,36075523914,230.0,239.5,229.0,238.5,12.0,134231,
114/10/21,120698819,29149120621,241.5,245.5,238.0,239.0,0.5,167654,
114/10/22,71609786,17220549578,238.0,243.0,236.5,242.5,3.5,61493,
114/10/23,50955830,12197332916,240.0,240.5,238.0,239.0,-3.5,52881,
114/10/27,80708542,19851228769,249.0,249.0,243.0,246.5,7.5,92215,
114/10/28,73662546,18319667921,248.0,250.0,246.5,250.0,3.5,54245,
114/10/29,125297120,32456157743,254.0,263.0,253.0,260.0,10.0,134759,
114/10/30,108445874,28366663326,262.5,265.0,256.5,262.0,2.0,120853,
114/10/31,63119828,16335488543,261.0,262.0,257.0,257.5,-4.5,80469,
