日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,註記
111/11/01,167849,3344366,19.8,20.1,19.6,19.9,0.35,143,
111/11/02,201505,4061378,19.9,20.3,19.9,20.2,0.3,189,
111/11/03,152868,3081598,20.2,20.35,19.85,20.3,0.1,142,
111/11/04,134740,2733389,20.15,20.4,20.1,20.4,0.1,211,
111/11/07,264201,5457458,20.45,20.85,20.3,20.65,0.25,227,
111/11/08,330573,6913134,20.9,21.2,20.6,20.6,-0.05,309,
111/11/09,140805,2934046,20.9,21.0,20.75,20.75,0.15,148,
111/11/10,163847,3345486,20.5,20.6,20.25,20.3,-0.45,184,
111/11/11,1124086,25030588,20.65,22.3,20.65,22.3,2.0,550,
111/11/14,5173396,120182612,22.5,23.8,22.5,23.6,1.3,2302,
111/11/15,1188473,26770024,23.1,23.1,22.1,22.4,-1.2,1073,
111/11/16,557728,12318532,22.5,22.5,21.9,21.95,-0.45,447,
111/11/17,261437,5808234,21.85,22.35,21.7,22.3,0.35,282,
111/11/18,396839,8858261,22.3,22.8,21.95,21.95,-0.35,375,
111/11/21,163397,3597187,22.0,22.3,21.85,21.95,0.0,194,
111/11/22,229425,5004058,21.8,22.15,21.65,21.75,-0.2,236,
111/11/23,393889,8796864,22.0,22.55,22.0,22.15,0.4,389,
111/11/24,199077,4407960,22.2,22.4,22.0,22.1,-0.05,193,
111/11/25,4441568,105500606,22.35,24.3,22.35,24.3,2.2,2171,
111/11/28,8132800,198425253,24.0,25.2,23.75,24.25,-0.05,3878,
111/11/29,866843,20462716,24.15,24.15,23.45,23.5,-0.75,711,
111/11/30,850124,19867997,23.5,23.7,23.15,23.2,-0.3,765,
