日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,註記
111/09/01,403107,9587916,24.1,24.15,23.6,23.7,-0.6,281,
111/09/02,191095,4538491,23.7,24.15,23.55,23.55,-0.15,195,
111/09/05,1272141,30776842,23.8,24.7,23.05,24.25,0.7,867,
111/09/06,2373295,55892126,24.45,24.8,22.6,24.05,-0.2,1675,
111/09/07,2519028,59682312,24.6,24.6,22.9,23.2,-0.85,1821,
111/09/08,3719648,92198216,23.45,25.3,23.4,24.9,1.7,2574,
111/09/12,3046880,77453998,25.85,26.45,24.85,24.9,0.0,2213,
111/09/13,1640838,39902421,24.8,24.8,24.1,24.15,-0.75,1160,
111/09/14,797366,18769972,23.65,23.8,23.15,23.75,-0.4,777,
111/09/15,652021,15768667,23.9,24.45,23.85,24.2,0.45,536,
111/09/16,494981,11747529,24.6,24.6,23.45,23.45,-0.75,510,
111/09/19,605191,13898592,23.5,23.5,22.65,22.8,-0.65,416,
111/09/20,188701,4342164,22.9,23.3,22.9,22.9,0.1,155,
111/09/21,398137,8979657,22.7,23.05,22.3,22.3,-0.6,292,
111/09/22,410144,9026160,22.0,22.7,21.6,22.4,0.1,338,
111/09/23,361346,7940338,22.3,22.5,21.6,21.65,-0.75,267,
111/09/26,713832,14688564,21.65,21.65,20.1,20.2,-1.45,560,
111/09/27,305711,6223122,20.05,20.7,20.05,20.55,0.35,241,
111/09/28,811131,15971479,20.55,20.65,19.3,19.3,-1.25,608,
111/09/29,325683,6456943,19.75,20.1,19.4,19.7,0.4,272,
111/09/30,367741,7058014,19.5,19.7,18.75,19.65,-0.05,352,
