日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,註記
111/11/01,7288940,395551944,54.2,55.0,54.0,54.0,-0.5,4114,
111/11/02,5681805,309917810,53.6,54.9,53.6,54.8,0.8,3194,
111/11/03,10144372,561731135,53.9,56.4,53.8,56.0,1.2,5393,
111/11/04,8679335,475804067,55.6,55.6,54.2,54.9,-1.1,5806,
111/11/07,13585536,768568179,55.4,57.3,55.2,56.9,2.0,6829,
111/11/08,12435378,708120226,57.2,57.4,56.5,57.1,0.2,5227,
111/11/09,10413413,602503441,57.5,58.2,57.3,58.1,1.0,5321,
111/11/10,6925277,399167416,57.8,58.2,57.0,58.0,-0.1,3550,
111/11/11,19296996,1147873385,59.3,59.9,58.6,59.8,1.8,10935,
111/11/14,13016566,781182444,60.0,60.5,59.7,59.9,0.1,6991,
111/11/15,10258939,608838404,59.5,59.7,58.7,59.7,-0.2,4926,
111/11/16,9698486,580565430,59.7,60.4,59.0,60.1,0.4,5236,
111/11/17,16996664,997311930,58.5,59.4,57.3,58.9,-1.2,8801,
111/11/18,20678802,1259339344,59.4,62.0,59.2,60.7,1.8,12237,
111/11/21,14158132,833400982,60.9,60.9,58.1,58.4,-2.3,8411,
111/11/22,9303061,545084322,58.6,59.2,57.6,59.2,0.8,5058,
111/11/23,8224653,491772549,59.5,60.2,59.2,59.8,0.6,4386,
111/11/24,7481113,449386538,59.9,60.4,59.7,59.9,0.1,3477,
111/11/25,6584183,394240891,60.3,60.6,59.4,59.7,-0.2,3104,
111/11/28,10418539,611749123,59.0,59.1,58.2,58.5,-1.2,5366,
111/11/29,17570959,1001197986,57.9,57.9,56.6,57.2,-1.3,8968,
111/11/30,17579197,994927609,56.1,56.9,56.0,56.8,-0.4,7515,
