日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,註記
111/02/07,18169892,1379078553,75.0,76.4,74.3,76.4,4.4,10008,
111/02/08,11839771,915489988,77.0,77.9,76.6,77.4,1.0,7003,
111/02/09,14137441,1089144471,78.0,78.8,77.4,78.5,1.1,7621,
111/02/10,8852331,696812269,78.8,79.0,78.2,79.0,0.5,6116,
111/02/11,17573012,1386165922,78.6,79.5,77.9,79.0,0.0,10345,
111/02/14,11793578,923054443,78.4,78.9,77.5,78.7,-0.3,6243,
111/02/15,9948206,787876222,79.0,79.5,78.7,78.8,0.1,6164,
111/02/16,18735468,1504531664,80.0,80.6,79.5,80.5,1.7,12376,
111/02/17,36846194,3045619909,81.0,84.2,80.8,82.7,2.2,24608,
111/02/18,21192066,1766293993,81.8,84.0,81.6,83.5,0.8,11590,
111/02/21,13608482,1105042287,83.0,83.1,80.3,80.4,-3.1,16083,
111/02/22,11771596,923237753,79.2,79.4,77.7,78.7,-1.7,10633,
111/02/23,7783324,615831499,78.8,80.4,78.5,79.0,0.3,7212,
111/02/24,14655112,1125492186,77.5,77.7,75.9,76.3,-2.7,9920,
111/02/25,8880081,686775936,77.5,78.2,76.8,77.1,0.8,4541,
