日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,註記
111/05/03,6591858,432700913,65.6,66.0,65.2,65.9,0.3,4300,
111/05/04,7592756,501333380,65.8,66.5,65.4,66.1,0.2,4980,
111/05/05,11187476,751637083,67.5,68.0,66.4,67.0,0.9,6721,
111/05/06,7160697,475589206,65.4,66.9,65.4,66.8,-0.2,4412,
111/05/09,5820890,381782220,65.9,66.5,65.1,65.1,-1.7,4299,
111/05/10,8886782,582998617,64.2,66.2,64.1,66.0,0.9,5188,
111/05/11,8024685,522140812,65.5,65.6,64.2,65.2,-0.8,5040,
111/05/12,7050120,457454165,64.5,65.5,64.5,64.6,-0.6,3801,
111/05/13,5511568,359807010,65.4,65.9,64.9,65.5,0.9,3018,
111/05/16,15724608,1057077214,66.5,68.0,66.4,66.9,1.4,7783,
111/05/17,7004515,469463426,67.3,67.6,66.6,67.0,0.1,5894,
111/05/18,6880656,464014286,67.6,68.0,67.0,67.2,0.2,5265,
111/05/19,5487055,363802494,66.3,66.9,65.6,66.9,-0.3,4388,
111/05/20,3774285,252432416,67.4,67.4,66.4,66.8,-0.1,3157,
111/05/23,4627864,307104568,67.4,67.4,65.8,66.4,-0.4,2675,
111/05/24,7570001,492743761,66.6,66.6,64.3,64.3,-2.1,4301,
111/05/25,6875583,443398726,64.9,65.0,64.0,64.7,0.4,4165,
111/05/26,7068255,454046737,65.3,65.5,63.5,63.5,-1.2,4039,
111/05/27,8517588,543544478,64.3,64.6,63.4,63.9,0.4,4445,
111/05/30,8522765,557302407,64.5,65.9,64.4,65.8,1.9,4881,
111/05/31,13639611,901195713,65.7,66.8,64.9,66.8,1.0,4860,
