日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,註記
114/03/03,7969356,335541044,42.5,42.55,41.85,42.15,-0.65,5300,
114/03/04,7897272,330147251,41.85,42.25,41.35,41.9,-0.25,5044,
114/03/05,116641147,5228651505,44.35,45.9,43.9,45.15,3.25,45389,
114/03/06,59343948,2671475005,45.5,45.8,44.35,44.4,-0.75,32926,
114/03/07,16575385,736321821,44.2,44.8,44.1,44.35,-0.05,9825,
114/03/10,18234218,817245754,44.5,45.15,44.45,44.8,0.45,10196,
114/03/11,17963268,781921381,43.9,43.9,43.05,43.75,-1.05,10318,
114/03/12,13141940,579698495,43.65,44.4,43.65,44.1,0.35,6549,
114/03/13,14806073,648531621,44.3,44.5,43.25,43.45,-0.65,7893,
114/03/14,24848175,1105844303,43.65,45.0,43.4,44.85,1.4,11076,
114/03/17,22070629,994104006,45.1,45.4,44.6,44.65,-0.2,11461,
114/03/18,22418119,1008586376,44.85,45.4,44.3,45.25,0.6,11201,
114/03/19,18351951,817703000,45.25,45.3,44.15,44.15,-1.1,10004,
114/03/20,8042256,357489241,44.5,44.8,44.25,44.35,0.2,4732,
114/03/21,29328349,1310255988,44.65,45.25,44.15,44.7,0.35,6517,
114/03/24,9922417,443791531,45.0,45.1,44.55,44.6,-0.1,6745,
114/03/25,11964223,529908316,44.7,44.9,44.0,44.0,-0.6,7334,
114/03/26,24228045,1088467531,44.15,45.2,44.15,44.9,0.9,11333,
114/03/27,10631384,474807448,44.75,45.15,44.35,44.35,-0.55,6140,
114/03/28,12457748,542158681,44.45,44.45,43.0,43.1,-1.25,7508,
114/03/31,21961647,901338700,41.35,41.95,40.3,40.7,-2.4,11150,
