日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,註記
111/02/07,1186081,35601285,30.7,30.7,29.45,30.4,0.3,1136,
111/02/08,645838,19926376,30.4,31.25,30.4,30.8,0.4,927,
111/02/09,736609,23126491,31.1,31.75,31.0,31.65,0.85,663,
111/02/10,963587,29700140,31.65,31.7,30.4,30.75,-0.9,1468,
111/02/11,552878,16953037,30.4,31.0,30.25,30.6,-0.15,614,
111/02/14,646456,19272470,29.5,30.05,29.5,29.9,-0.7,1107,
111/02/15,542835,16227412,29.8,30.2,29.7,29.75,-0.15,658,
111/02/16,770865,23027232,29.85,30.55,29.65,29.65,-0.1,1142,
111/02/17,601819,17832743,29.65,30.25,29.35,29.5,-0.15,1251,
111/02/18,476795,14058617,29.25,29.65,29.25,29.5,0.0,582,
111/02/21,1227535,35653043,29.5,29.7,28.6,29.4,-0.1,1056,
111/02/22,1240920,35179512,29.35,29.35,28.0,28.05,-1.35,1032,
111/02/23,491543,13956250,27.9,28.7,27.85,28.5,0.45,422,
111/02/24,1225869,33424125,28.0,28.1,26.75,27.0,-1.5,986,
111/02/25,670521,18152738,26.5,27.4,26.5,27.25,0.25,496,
