日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,註記
111/04/01,5258428,152521108,28.2,29.7,28.15,28.3,0.5,3507,
111/04/06,3339181,97739112,30.0,30.2,28.75,29.0,0.7,2365,
111/04/07,1542137,43855646,29.1,29.25,28.1,28.2,-0.8,1351,
111/04/08,811124,23036793,28.45,28.75,28.05,28.55,0.35,751,
111/04/11,1243652,34054275,28.9,28.9,26.8,26.8,-1.75,1302,
111/04/12,743971,19346058,26.55,26.6,25.6,25.6,-1.2,833,
111/04/13,404536,10519670,25.8,26.3,25.8,26.0,0.4,639,
111/04/14,391923,10134954,26.0,26.15,25.7,25.75,-0.25,340,
111/04/15,458043,11561515,25.8,25.8,25.05,25.1,-0.65,397,
111/04/18,4143546,113370877,25.1,27.6,24.9,27.6,2.5,1768,
111/04/19,17720448,519068708,28.05,30.35,28.0,30.35,2.75,9215,
111/04/20,11259665,331081663,30.0,30.05,28.7,29.9,-0.45,6341,
111/04/21,13841721,430442120,29.8,31.9,29.7,30.75,0.85,7812,
111/04/22,19610447,639562831,30.3,33.8,29.7,33.8,3.05,10310,
111/04/25,47456186,1646286985,34.4,36.5,32.15,32.15,-1.65,25772,
111/04/26,23023910,744904341,33.1,33.65,30.1,30.15,-2.0,11345,
111/04/27,12401352,375268934,29.5,31.25,29.15,30.25,0.1,6375,
111/04/28,5442262,160904512,29.4,30.35,28.8,30.0,-0.25,3536,
111/04/29,8810425,264661737,29.95,30.6,29.05,29.1,-0.9,3359,
