日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,註記
114/05/02,25782917,1084416156,41.05,42.5,40.9,42.1,1.5,12683,
114/05/05,57944740,2546513053,43.5,45.0,42.8,43.45,1.35,26705,
114/05/06,24004134,1049768154,43.1,44.3,43.1,43.9,0.45,12055,
114/05/07,13645662,598175327,43.95,44.4,43.4,43.5,-0.4,7836,
114/05/08,14847912,656438681,43.75,44.55,43.75,44.3,0.8,6957,
114/05/09,8764680,386359933,44.4,44.5,43.7,44.2,-0.1,5209,
114/05/12,14748732,659320562,44.3,44.95,44.3,44.9,0.7,6589,
114/05/13,21972329,966984286,44.65,44.65,43.6,43.85,-1.05,11891,
114/05/14,11315150,499210345,44.25,44.4,43.9,44.25,0.4,5619,
114/05/15,11238098,499674072,44.4,44.6,44.15,44.6,0.35,5114,
114/05/16,93079890,3806858002,40.15,42.0,40.15,41.0,-3.6,36337,
114/05/19,25760160,1049357107,41.0,41.3,40.3,40.95,-0.05,11695,
114/05/20,15010120,619165023,41.5,41.75,40.9,41.0,0.05,7179,
114/05/21,14278224,587923068,41.3,41.5,40.7,41.4,0.4,6564,
114/05/22,15929513,661968449,41.5,42.0,41.2,41.4,0.0,6825,
114/05/23,26716788,1133261315,41.8,43.2,41.6,42.0,0.6,11859,
114/05/26,11256114,471558800,42.2,42.45,41.6,41.65,-0.35,6137,
114/05/27,9738786,403437271,41.75,41.9,41.15,41.25,-0.4,5003,
114/05/28,12161587,505304397,41.9,42.05,41.2,41.4,0.15,6113,
114/05/29,20783274,869681709,41.75,42.0,41.55,41.75,0.35,8588,
