日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,註記
114/03/03,70556492,12112410727,172.0,175.0,170.0,170.0,-4.0,76523,
114/03/04,71127819,12007537766,165.5,172.0,165.0,170.5,0.5,65668,
114/03/05,45364409,7855325151,171.5,175.0,171.5,173.5,3.0,31719,
114/03/06,28989951,5056441595,175.5,176.0,173.5,173.5,0.0,25315,
114/03/07,32530175,5607535311,171.0,174.5,171.0,172.0,-1.5,29463,
114/03/10,36673846,6293376887,173.5,174.0,170.0,172.0,0.0,26004,
114/03/11,69729259,11667727498,166.0,169.5,165.0,168.5,-3.5,65332,
114/03/12,41085436,6996341452,169.0,171.5,169.0,170.5,2.0,29551,
114/03/13,35310891,6014788759,172.5,174.0,168.0,168.0,-2.5,44215,
114/03/14,33052530,5596145369,168.5,170.5,168.0,170.0,2.0,21222,
114/03/17,50999196,8651398483,172.0,172.5,168.0,168.0,-2.0,49501,
114/03/18,40404616,6786977089,169.0,169.5,167.0,167.5,-0.5,40157,
114/03/19,80802409,13339464376,167.0,167.5,163.5,164.0,-3.5,98597,
114/03/20,37221459,6170852921,165.0,167.0,164.5,166.0,2.0,29854,
114/03/21,55445821,9171520069,167.0,167.0,165.0,165.0,-1.0,28897,
114/03/24,42919426,7041098300,166.5,167.0,163.0,163.0,-2.0,49232,
114/03/25,34677689,5728366017,165.5,166.5,164.0,165.0,2.0,24782,
114/03/26,19840998,3290605842,166.0,167.0,165.0,166.0,1.0,16078,
114/03/27,68898389,11113072033,163.5,164.0,160.0,160.5,-5.5,90993,
114/03/28,111580460,17310150126,158.0,158.5,153.0,154.0,-6.5,127991,
114/03/31,130858564,19290960164,145.0,149.5,145.0,146.0,-8.0,109001,
