日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,註記
111/08/01,183884,4053258,22.2,22.25,21.85,22.1,-0.15,191,
111/08/02,385388,8200739,22.0,22.0,21.0,21.15,-0.95,507,
111/08/03,333655,7057630,21.4,21.55,20.6,20.75,-0.4,292,
111/08/04,338813,6925788,20.75,21.0,20.0,20.7,-0.05,283,
111/08/05,396324,8492300,21.15,21.65,21.1,21.6,0.9,277,
111/08/08,238789,5163297,21.8,21.9,21.2,21.75,0.15,210,
111/08/09,285316,6243741,21.75,22.1,21.65,21.95,0.2,204,
111/08/10,256027,5609569,21.85,22.25,21.6,21.6,-0.35,267,
111/08/11,112719,2458840,21.95,21.95,21.7,21.75,0.15,222,
111/08/12,443527,9830120,21.8,22.45,21.65,22.15,0.4,337,
111/08/15,239044,5356175,22.6,22.6,22.15,22.5,0.35,208,
111/08/16,398980,9093169,22.8,23.05,22.5,22.6,0.1,232,
111/08/17,616885,14230323,22.6,23.45,22.5,23.3,0.7,435,
111/08/18,938064,22056351,23.25,24.0,22.7,23.9,0.6,629,
111/08/19,1678905,39859846,24.5,24.5,23.25,23.25,-0.65,1205,
111/08/22,1350228,32426107,23.1,24.8,23.1,23.45,0.2,948,
111/08/23,742192,17484436,23.55,23.95,23.25,23.3,-0.15,509,
111/08/24,718016,16867719,23.4,23.85,23.2,23.3,0.0,295,
111/08/25,307999,7252568,23.55,23.75,23.3,23.6,0.3,223,
111/08/26,408076,9725794,23.85,24.15,23.6,23.7,0.1,302,
111/08/29,341631,7792085,23.1,23.2,22.6,22.95,-0.75,293,
111/08/30,451443,10705790,23.0,24.0,23.0,23.75,0.8,339,
111/08/31,940383,22959031,23.55,24.95,23.55,24.3,0.55,694,
