日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,註記
114/05/02,60280797,8810890892,144.5,148.0,144.0,147.5,6.0,43319,
114/05/05,66798494,9625497137,149.0,149.0,142.0,142.5,-5.0,46397,
114/05/06,53330985,7744348350,142.5,146.5,142.0,146.0,3.5,28490,
114/05/07,43382455,6280064242,146.5,148.0,143.5,145.0,-1.0,26060,
114/05/08,29519952,4306942606,145.5,146.5,144.5,146.0,1.0,19660,
114/05/09,30063441,4411271067,146.5,147.5,145.5,147.0,1.0,19339,
114/05/12,59409981,9007425118,149.0,153.0,148.5,153.0,6.0,39231,
114/05/13,95098747,15131219536,159.5,161.5,157.0,158.0,5.0,62733,
114/05/14,71682968,11574000654,161.5,163.0,159.5,163.0,5.0,52174,
114/05/15,71845843,11496060994,163.0,163.0,158.5,159.5,-3.5,63640,
114/05/16,34670607,5488707082,158.5,159.5,157.0,158.0,-1.5,29721,
114/05/19,53345121,8302375919,157.0,158.0,154.0,154.0,-4.0,45200,
114/05/20,41647356,6466185354,157.0,158.5,153.5,154.0,0.0,29970,
114/05/21,29698374,4611696553,155.0,156.5,154.5,155.0,1.0,21779,
114/05/22,37074612,5656223455,153.5,154.0,151.5,153.0,-2.0,31839,
114/05/23,22518013,3464814657,156.0,156.0,153.0,154.0,1.0,16196,
114/05/26,28992215,4448552234,152.5,155.0,151.0,153.0,-1.0,18855,
114/05/27,27594038,4221069063,153.5,155.0,152.0,152.0,-1.0,19732,
114/05/28,31758614,4842901295,154.0,154.0,151.5,152.0,0.0,20993,
114/05/29,91749249,14345913002,154.5,158.0,154.0,156.0,4.0,45878,
