日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,註記
111/06/01,32970903,18171598472,550.0,555.0,548.0,549.0,-11.00,33456,
111/06/02,26063495,14122936388,544.0,545.0,540.0,540.0,-9.00,30042,
111/06/06,23732327,12843324209,541.0,544.0,538.0,540.0,0.00,16614,
111/06/07,22152512,11846386906,535.0,538.0,532.0,535.0,-5.00,28586,
111/06/08,19609522,10636701303,539.0,545.0,538.0,544.0,+9.00,18487,
111/06/09,16894479,9115934006,538.0,542.0,537.0,541.0,-3.00,18802,
111/06/10,22614596,12011615014,530.0,533.0,529.0,530.0,-11.00,44802,
111/06/13,36758925,18998155460,518.0,519.0,515.0,516.0,-14.00,112023,
111/06/14,38838778,19813036892,507.0,514.0,507.0,513.0,-3.00,85483,
111/06/15,38360508,19580150319,508.0,515.0,508.0,509.0,-4.00,72687,
111/06/16,31908028,16331470764,515.0,516.0,507.0,508.0,X0.00,42177,
111/06/17,48400798,24260277915,499.5,503.0,499.0,501.0,-7.00,119618,
111/06/20,36664463,18267359790,500.0,502.0,495.0,498.0,-3.00,89541,
111/06/21,34432537,17298234720,501.0,505.0,499.0,505.0,+7.00,32427,
111/06/22,33438921,16630857096,501.0,503.0,494.5,494.5,-10.50,81024,
111/06/23,46808462,22836692325,492.0,493.5,485.0,485.5,-9.00,104661,
111/06/24,29003676,14184287155,489.5,492.5,485.5,486.5,+1.00,43609,
111/06/27,38684368,19379396938,496.0,506.0,495.5,498.5,+12.00,37438,
111/06/28,16867955,8392290378,496.0,500.0,496.0,497.5,-1.00,18988,
111/06/29,33124986,16352376816,496.0,498.5,491.0,491.0,-6.50,40024,
111/06/30,49820824,23900613642,484.5,486.5,476.0,476.0,-15.00,111117,
