日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,註記
114/04/01,61385394,9269985746,148.5,153.0,148.0,152.0,6.0,42452,
114/04/02,38868764,5955684019,153.0,154.5,152.0,153.5,1.5,31686,
114/04/07,30755604,4259646765,138.5,138.5,138.5,138.5,-15.0,39912,
114/04/08,308542896,39193398694,127.0,130.5,125.0,125.0,-13.5,184008,
114/04/09,366032118,42809132937,119.0,122.5,112.5,112.5,-12.5,219246,
114/04/10,36901188,4557296036,123.5,123.5,123.5,123.5,11.0,15924,
114/04/11,297865611,37718131962,118.5,135.0,117.0,134.5,11.0,151793,
114/04/14,214264335,30130175092,141.5,145.0,136.0,138.5,4.0,127354,
114/04/15,86203486,11926176813,139.0,140.0,136.0,139.5,1.0,63145,
114/04/16,61680512,8447843722,138.0,139.5,136.0,136.0,-3.5,50625,
114/04/17,64431249,8622798581,134.5,135.5,132.0,134.5,-1.5,39467,
114/04/18,26363008,3564680170,135.0,136.5,133.5,135.5,1.0,21715,
114/04/21,32102734,4366804312,135.0,137.0,134.5,136.5,1.0,21917,
114/04/22,44476006,5940736369,134.5,136.0,131.5,132.0,-4.5,55134,
114/04/23,65973272,9086566741,136.0,139.5,136.0,139.0,7.0,38655,
114/04/24,46353045,6354097505,139.0,139.0,135.5,136.5,-2.5,30115,
114/04/25,57201568,7980480834,140.5,141.0,138.5,139.0,2.5,32639,
114/04/28,47321711,6732928742,140.0,143.5,140.0,142.5,3.5,32931,
114/04/29,40351039,5750350132,141.5,143.5,141.0,143.0,0.5,23400,
114/04/30,42090535,5991475670,143.0,144.0,141.5,141.5,-1.5,24152,
