日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,註記
114/12/01,52409098,11697363425,225.0,226.0,222.0,222.0,-3.5,52888,
114/12/02,49869243,11112126391,220.5,225.0,220.5,222.0,0.0,42121,
114/12/03,53110402,12105405038,225.0,230.0,225.0,227.0,5.0,42615,
114/12/04,25728854,5881293758,230.0,230.0,227.5,228.5,1.5,22327,
114/12/05,35103317,8092547584,229.0,231.5,228.5,231.0,2.5,31120,
114/12/08,29940997,6921563147,231.5,232.0,229.0,232.0,1.0,30589,
114/12/09,54359440,12759646823,233.0,236.5,232.0,235.0,3.0,42902,
114/12/10,36069288,8426123662,236.0,236.0,232.0,233.5,-1.5,39039,
114/12/11,60054527,13752207520,234.0,234.5,226.0,226.0,-7.5,89601,
114/12/12,29684376,6726641967,227.0,228.5,225.0,227.0,1.0,31448,
114/12/15,44481528,9866068296,221.0,223.0,220.5,221.5,-5.5,71295,
114/12/16,63458370,13793757767,220.0,220.5,215.0,218.0,-3.5,89675,
114/12/17,51129639,11120465506,218.0,219.5,216.0,216.5,-1.5,52205,
114/12/18,50364181,10832883459,214.5,217.0,213.5,216.0,-0.5,46455,
114/12/19,41562299,9148598443,219.0,221.5,218.0,221.5,5.5,26550,
114/12/22,40062169,8987821737,224.5,225.5,223.0,224.0,2.5,30314,
114/12/23,29629268,6653399339,225.5,226.0,223.5,224.0,0.0,21819,
114/12/24,36443763,8211187033,225.5,227.5,224.0,224.0,0.0,29599,
114/12/26,28935431,6533625977,225.5,227.5,224.5,225.5,1.5,27254,
114/12/29,57945280,13368023317,227.0,233.0,226.5,231.0,5.5,51591,
114/12/30,36162418,8276095353,230.5,231.0,228.0,228.0,-3.0,38132,
114/12/31,41319239,9518671728,228.5,231.5,228.0,230.5,2.5,37119,
