日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,註記
114/06/02,18113669,755197958,41.75,41.95,41.5,41.7,-0.05,8737,
114/06/03,20030385,837048025,41.9,42.25,41.45,41.95,+0.25,8725,
114/06/04,34149540,1450575156,42.25,42.85,42.15,42.65,+0.70,13119,
114/06/05,29139460,1251608874,43.2,43.5,42.3,42.3,-0.35,11420,
114/06/06,18882977,797910197,42.75,43.0,41.6,41.6,-0.70,8903,
114/06/09,22395443,915805576,41.8,41.8,40.5,40.5,-1.10,10467,
114/06/10,20563775,835409288,40.55,41.1,40.25,40.25,-0.25,8032,
114/06/11,19403068,781526387,40.6,40.6,40.1,40.15,-0.10,9718,
114/06/23,23199664,935534837,41.4,41.45,39.9,40.1,X0.00,14003,
114/06/24,25698797,1040184845,40.75,40.8,40.25,40.5,+0.40,9889,
114/06/25,25533965,1030490586,40.5,40.85,40.4,40.65,+0.15,6050,
114/06/26,25436940,1027538527,40.65,41.1,40.35,40.5,-0.15,6897,
114/06/27,20094972,809032931,40.5,40.75,39.8,40.4,-0.10,9153,
114/06/30,55193122,2206089504,40.45,40.6,39.7,39.7,-0.70,10188,
