日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,註記
114/06/02,55748448,8490668458,154.0,154.5,151.0,152.5,-3.5,44219,
114/06/03,38422320,5875967951,153.5,155.0,151.5,151.5,-1.0,21959,
114/06/04,39837003,6177051978,153.5,156.0,153.0,156.0,4.5,22240,
114/06/05,34529119,5394408492,156.5,157.0,155.5,155.5,-0.5,21708,
114/06/06,24170636,3717157598,155.5,155.5,153.0,153.0,-2.5,22121,
114/06/09,18474613,2857946753,155.0,155.5,154.0,154.5,1.5,14285,
114/06/10,33025153,5137840933,155.5,156.0,155.0,155.5,1.0,22857,
114/06/11,27402761,4286075422,156.5,157.5,155.5,156.0,0.5,19829,
114/06/12,33551155,5270624142,155.5,158.0,154.0,157.5,1.5,21890,
114/06/13,37530090,5883267960,157.0,158.5,156.0,156.5,-1.0,21288,
114/06/16,21896497,3402676630,156.0,157.0,154.5,155.0,-1.5,15947,
114/06/17,25564725,3969622214,156.5,157.0,154.5,155.0,0.0,17489,
114/06/18,38500036,5983147696,155.0,156.5,154.0,156.0,1.0,20288,
114/06/19,20674399,3197614958,155.5,156.0,154.0,154.0,-2.0,17858,
114/06/20,60372534,9354470414,154.5,155.5,153.0,155.5,1.5,20508,
114/06/23,49297718,7596329559,153.0,156.0,152.0,156.0,0.5,27058,
114/06/24,67130349,10749342455,158.0,162.0,157.5,160.5,4.5,40109,
114/06/25,48758589,7862835911,161.5,162.0,160.0,162.0,1.5,29240,
114/06/26,65708560,10691392412,162.0,164.0,161.5,163.0,1.0,36047,
114/06/27,75664710,12435280695,163.0,165.5,162.5,165.0,2.0,40110,
114/06/30,62308280,10165201855,166.0,166.5,161.0,161.0,-4.0,41102,
